          ;        4556;   ;Filtro    ;Terminado                               ;19122016      ;104907;200.83.215.99  ;OK ;                    ;Datos Filtrados con exito                                               
215534765 ;        4556;   ;pago      ;inicio                                  ;19122016      ;104907;200.83.215.99  ;OK ;597032110312        ;Parseo realizado                                                        
215534765 ;        4556;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104907;200.83.215.99  ;OK ;597032110312        ;Datos en datos/tbk_config.dat                                           
215534765 ;        4556;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104907;200.83.215.99  ;OK ;597032110312        ;Mac generado                                                            
215534765 ;        4556;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104907;200.83.215.99  ;OK ;597032110312        ;Construccion TBK_PARAM                                                  
215534765 ;        4556;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104907;200.83.215.99  ;OK ;597032110312        ;TBK_PARAM encriptado                                                    
215534765 ;        4556;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104907;200.83.215.99  ;OK ;597032110312        ;Datos listos para ser enviados                                          
215534765 ;        4556;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104907;200.83.215.99  ;OK ;597032110312        ;Medio 2: Por redireccion                                                
215534765 ;        4556;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104907;200.83.215.99  ;OK ;597032110312        ;Redireccion web                                                         
215534765 ;        4556;   ;pago      ;https://webpay.transbank.cl             ;19122016      ;104907;200.83.215.99  ;OK ;597032110312        ;Todo OK                                                                 
          ;        2592;   ;resultado ;Desencriptando                          ;19122016      ;105003;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        2592;   ;resultado ;Validacion                              ;19122016      ;105003;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        2592;   ;resultado ;188                                     ;19122016      ;105003;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;        2592;   ;resultado ;188                                     ;19122016      ;105003;200.10.14.177  ;OK ;                    ;http://190.98.201.83/Webpay/Xt_Cierre                                   
215534765 ;        2592;   ;transacc  ;215534765                               ;19122016      ;105003;200.10.14.177  ;OK ;597032110312        ;conectandose al port :(80)                                              
215534765 ;        2592;   ;resultado ;logro abrir_conexion                    ;19122016      ;105003;200.10.14.177  ; 0 ;597032110312        ;Abrio socket para conex-com                                             
215534765 ;        2592;   ;transacc  ;215534765                               ;19122016      ;105003;200.10.14.177  ;OK ;597032110312        ;POST a url http://190.98.201.83/Webpay/Xt_Cierre                        
